hero_id,winrate,pickrate,best_teammate,best_teammate_synergy,best_matchups,worst_counters
4,0.564,0.053,92,0.099,"[(121, -0.094), (90, -0.082), (23, -0.08), (44, -0.074), (93, -0.067)]","[(61, 0.173), (108, 0.082), (82, 0.076), (8, 0.074), (80, 0.069)]"
26,0.453,0.198,61,0.066,"[(65, -0.069), (58, -0.064), (121, -0.062), (1, -0.061), (69, -0.058)]","[(61, 0.13), (6, 0.117), (108, 0.111), (56, 0.087), (38, 0.076)]"
110,0.502,0.102,77,0.108,"[(114, -0.071), (69, -0.066), (121, -0.062), (12, -0.062), (72, -0.061)]","[(56, 0.116), (61, 0.115), (108, 0.101), (4, 0.081), (6, 0.081)]"
94,0.453,0.032,6,0.087,"[(69, -0.097), (121, -0.094), (76, -0.094), (72, -0.087), (58, -0.086)]","[(61, 0.221), (108, 0.128), (6, 0.113), (59, 0.103), (113, 0.087)]"
33,0.485,0.024,92,0.091,"[(54, -0.077), (76, -0.072), (55, -0.066), (114, -0.063), (69, -0.063)]","[(61, 0.127), (56, 0.106), (108, 0.089), (6, 0.067), (20, 0.061)]"
5,0.519,0.141,61,0.095,"[(12, -0.082), (90, -0.077), (69, -0.065), (58, -0.065), (1, -0.061)]","[(6, 0.111), (108, 0.095), (61, 0.095), (56, 0.075), (4, 0.071)]"
128,0.491,0.13,61,0.073,"[(90, -0.066), (12, -0.062), (121, -0.061), (72, -0.058), (69, -0.053)]","[(61, 0.115), (56, 0.097), (108, 0.081), (6, 0.076), (4, 0.074)]"
53,0.457,0.055,61,0.038,"[(13, -0.082), (69, -0.08), (76, -0.079), (121, -0.078), (72, -0.078)]","[(61, 0.217), (108, 0.114), (77, 0.109), (82, 0.106), (56, 0.084)]"
19,0.485,0.154,108,0.056,"[(93, -0.064), (90, -0.062), (72, -0.052), (12, -0.052), (76, -0.052)]","[(61, 0.118), (108, 0.112), (56, 0.091), (6, 0.084), (77, 0.075)]"
108,0.601,0.097,92,0.107,"[(12, -0.108), (72, -0.099), (89, -0.087), (42, -0.079), (94, -0.074)]","[(61, 0.144), (56, 0.103), (6, 0.1), (8, 0.091), (4, 0.083)]"
45,0.55,0.073,108,0.091,"[(58, -0.085), (76, -0.074), (90, -0.07), (93, -0.062), (121, -0.06)]","[(61, 0.157), (77, 0.128), (92, 0.117), (6, 0.096), (108, 0.089)]"
114,0.462,0.083,61,0.072,"[(1, -0.081), (69, -0.074), (53, -0.071), (106, -0.07), (94, -0.068)]","[(56, 0.092), (47, 0.083), (108, 0.082), (113, 0.077), (6, 0.075)]"
92,0.563,0.011,61,0.136,"[(76, -0.149), (105, -0.071), (121, -0.071), (70, -0.061), (106, -0.05)]","[(61, 0.177), (89, 0.15), (108, 0.135), (77, 0.127), (57, 0.127)]"
83,0.537,0.079,61,0.087,"[(72, -0.077), (69, -0.067), (53, -0.06), (58, -0.057), (23, -0.055)]","[(61, 0.12), (108, 0.095), (6, 0.08), (56, 0.076), (59, 0.076)]"
51,0.531,0.1,108,0.087,"[(69, -0.082), (72, -0.08), (94, -0.073), (121, -0.06), (35, -0.06)]","[(61, 0.222), (77, 0.111), (108, 0.106), (82, 0.101), (92, 0.098)]"
32,0.516,0.049,61,0.108,"[(1, -0.083), (90, -0.071), (58, -0.07), (70, -0.068), (13, -0.067)]","[(61, 0.189), (108, 0.153), (82, 0.089), (6, 0.088), (84, 0.078)]"
13,0.459,0.065,61,0.06,"[(12, -0.118), (76, -0.085), (90, -0.068), (1, -0.067), (121, -0.065)]","[(108, 0.132), (61, 0.13), (56, 0.115), (80, 0.09), (6, 0.088)]"
6,0.59,0.132,20,0.144,"[(99, -0.095), (26, -0.074), (90, -0.074), (121, -0.072), (94, -0.07)]","[(61, 0.203), (77, 0.148), (4, 0.114), (108, 0.091), (113, 0.088)]"
20,0.551,0.063,6,0.144,"[(121, -0.076), (105, -0.073), (58, -0.063), (69, -0.063), (26, -0.059)]","[(61, 0.16), (6, 0.129), (108, 0.124), (4, 0.103), (82, 0.097)]"
57,0.524,0.017,61,0.1,"[(72, -0.1), (94, -0.083), (78, -0.081), (65, -0.076), (12, -0.076)]","[(61, 0.146), (77, 0.138), (108, 0.13), (6, 0.121), (45, 0.112)]"
